Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.17,13.89,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,20.85,8.5,NA,NA,NA,Apr-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.49,13.76,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.8,8.65,NA,NA,NA,May-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.96,13.94,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.94,9.01,NA,NA,NA,Jun-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.58,14.08,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.1,9.07,NA,NA,NA,Jul-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.52,14.45,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.24,9.62,NA,NA,NA,Aug-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.81,15.44,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.81,10.55,NA,NA,NA,Sep-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,28.93,15.8,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.98,11.17,NA,NA,NA,Oct-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.26,16.11,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.97,10.96,NA,NA,NA,Nov-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.66,16.2,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.25,11.08,NA,NA,NA,Dec-19
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.8,14.73,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.12,9.05,NA,NA,NA,Jan-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.5,14.82,NA,NA,NA,Feb-20
