Year,Quarter,MetricType,Type,Avg_Download,Avg_Upload
2019,2,mean,Cellular,29.54,13.863333333333333
2019,3,mean,Cellular,30.636666666666667,14.656666666666666
2019,4,mean,Cellular,30.616666666666667,16.036666666666665
2020,1,mean,Cellular,27.45,14.543333333333333
2020,2,mean,Cellular,29.426666666666666,13.673333333333334
2020,3,mean,Cellular,33.11,14.88
2020,4,mean,Cellular,31.446666666666665,15.153333333333332
2021,1,mean,Cellular,34.49,15.28
2021,2,mean,Cellular,37.166666666666664,15.023333333333333
2021,3,mean,Cellular,39.06,14.936666666666667
2021,4,mean,Cellular,38.71333333333333,14.943333333333333
2022,1,mean,Cellular,40.99,15.183333333333334
2022,2,mean,Cellular,43.02333333333333,15.796666666666667
2022,3,mean,Cellular,42.18666666666667,15.373333333333333
2022,4,mean,Cellular,44.97666666666667,15.7
2023,1,mean,Cellular,47.79333333333333,16.05
2023,2,mean,Cellular,54.95333333333333,16.89
2023,3,mean,Cellular,55.586666666666666,17.28
2023,4,mean,Cellular,59.45333333333333,17.906666666666666
2024,1,mean,Cellular,62.28,18.053333333333335
2024,2,mean,Cellular,68.26,19.383333333333333
2024,3,mean,Cellular,71.25666666666667,19.693333333333335
2024,4,mean,Cellular,74.08333333333333,21.043333333333333
2025,1,mean,Cellular,84.28,22.563333333333333
2025,2,mean,Cellular,82.82666666666667,22.073333333333334
2025,3,mean,Cellular,89.33,23.31
2019,2,median,Cellular,21.53,8.72
2019,3,median,Cellular,22.383333333333333,9.746666666666666
2019,4,median,Cellular,24.066666666666666,11.07
2020,1,median,Cellular,21.776666666666667,8.773333333333333
2020,2,median,Cellular,23.706666666666667,7.553333333333333
2020,3,median,Cellular,27.01666666666667,9.120000000000001
2020,4,median,Cellular,25.25,9.56
2021,1,median,Cellular,27.803333333333335,9.226666666666667
2021,2,median,Cellular,29.246666666666666,8.383333333333333
2021,3,median,Cellular,29.596666666666668,8.36
2021,4,median,Cellular,28.966666666666665,8.473333333333333
2022,1,median,Cellular,30.736666666666668,9.286666666666667
2022,2,median,Cellular,32.77666666666667,10.083333333333334
2022,3,median,Cellular,32.02666666666667,9.456666666666667
2022,4,median,Cellular,34.443333333333335,9.923333333333334
2023,1,median,Cellular,36.38666666666666,10.76
2023,2,median,Cellular,40.2,11.39
2023,3,median,Cellular,43.196666666666665,11.833333333333334
2023,4,median,Cellular,44.983333333333334,12.476666666666667
2024,1,median,Cellular,48.47,12.74
2024,2,median,Cellular,51.91,14.19
2024,3,median,Cellular,55.126666666666665,14.806666666666667
2024,4,median,Cellular,56.57666666666667,15.903333333333332
2025,1,median,Cellular,62.589999999999996,17.39
2025,2,median,Cellular,61.36,16.753333333333334
2025,3,median,Cellular,67.94666666666667,18.453333333333333
2019,2,mean,Fixed,14.473333333333333,15.133333333333333
2019,3,mean,Fixed,17.39666666666667,18.77
2019,4,mean,Fixed,21.94333333333333,24.166666666666664
2020,1,mean,Fixed,20.063333333333333,22.056666666666665
2020,2,mean,Fixed,20.61,22.013333333333335
2020,3,mean,Fixed,22.346666666666668,23.71
2020,4,mean,Fixed,24.346666666666668,26.503333333333334
2021,1,mean,Fixed,23.006666666666668,25.006666666666668
2021,2,mean,Fixed,24.353333333333335,25.866666666666667
2021,3,mean,Fixed,24.846666666666668,26.696666666666665
2021,4,mean,Fixed,26.953333333333333,28.72
2022,1,mean,Fixed,28.65,30.5
2022,2,mean,Fixed,30.896666666666665,32.49666666666667
2022,3,mean,Fixed,32.78333333333333,33.39
2022,4,mean,Fixed,35.13333333333333,36.22666666666667
2023,1,mean,Fixed,36.14333333333333,36.486666666666665
2023,2,mean,Fixed,38.18666666666667,37.553333333333335
2023,3,mean,Fixed,37.79,39.843333333333334
2023,4,mean,Fixed,44.68333333333334,44.14666666666667
2024,1,mean,Fixed,53.973333333333336,50.13333333333333
2024,2,mean,Fixed,59.413333333333334,54.68666666666667
2024,3,mean,Fixed,72.27,66.83333333333334
2024,4,mean,Fixed,107.63666666666667,104.31333333333333
2025,1,mean,Fixed,125.10666666666667,115.45333333333333
2025,2,mean,Fixed,142.77,127.75
2025,3,mean,Fixed,154.22333333333333,139.07333333333332
2019,2,median,Fixed,5.733333333333333,2.9766666666666666
2019,3,median,Fixed,7.819999999999999,7.073333333333333
2019,4,median,Fixed,10.413333333333334,11.25
2020,1,median,Fixed,9.746666666666666,10.203333333333333
2020,2,median,Fixed,9.53,9.613333333333333
2020,3,median,Fixed,10.49,11.096666666666668
2020,4,median,Fixed,13.153333333333332,15.156666666666666
2021,1,median,Fixed,11.9,13.093333333333334
2021,2,median,Fixed,12.026666666666667,12.74
2021,3,median,Fixed,13.643333333333333,14.816666666666666
2021,4,median,Fixed,16.396666666666665,17.36
2022,1,median,Fixed,18.696666666666665,19.596666666666668
2022,2,median,Fixed,21.096666666666668,22.84
2022,3,median,Fixed,23.13,24.113333333333333
2022,4,median,Fixed,26.78,28.286666666666665
2023,1,median,Fixed,27.226666666666667,28.566666666666666
2023,2,median,Fixed,29.146666666666665,29.693333333333335
2023,3,median,Fixed,29.043333333333333,30.35
2023,4,median,Fixed,32.92,33.64333333333333
2024,1,median,Fixed,36.96333333333333,36.61666666666667
2024,2,median,Fixed,39.64333333333333,39.60666666666667
2024,3,median,Fixed,49.93666666666667,49.656666666666666
2024,4,median,Fixed,65.58666666666667,65.77666666666667
2025,1,median,Fixed,74.19333333333333,74.44666666666666
2025,2,median,Fixed,81.27333333333334,80.96666666666667
2025,3,median,Fixed,84.76,84.70666666666666
