Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,20.85,8.5,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.17,13.89,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Cellular,cellular,median,15.81,7.01,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Cellular,cellular,mean,27.08,11.54,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Belarus,All Providers Combined,Cellular,cellular,median,7.87,4.61,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Belarus,All Providers Combined,Cellular,cellular,mean,11.64,8.82,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kazakhstan,All Providers Combined,Cellular,cellular,median,12.98,9.1,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kazakhstan,All Providers Combined,Cellular,cellular,mean,19.19,12,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,10.47,6.62,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,14.11,9.63,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Russia,All Providers Combined,Cellular,cellular,median,13.06,6.71,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Russia,All Providers Combined,Cellular,cellular,mean,20.14,9.53,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Tajikistan,All Providers Combined,Cellular,cellular,median,5.68,2.01,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Tajikistan,All Providers Combined,Cellular,cellular,mean,10.45,4.76,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Uzbekistan,All Providers Combined,Cellular,cellular,median,7.03,3.22,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.8,5.52,NA,NA,NA,Apr-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.8,8.65,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.49,13.76,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Cellular,cellular,median,18.8,7.93,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Cellular,cellular,mean,29.04,12.58,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Belarus,All Providers Combined,Cellular,cellular,median,7.89,4.35,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Belarus,All Providers Combined,Cellular,cellular,mean,11.9,8.73,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kazakhstan,All Providers Combined,Cellular,cellular,median,14.67,9.58,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kazakhstan,All Providers Combined,Cellular,cellular,mean,20.74,12.21,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,12.41,7.07,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,16.19,10,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Russia,All Providers Combined,Cellular,cellular,median,13.06,6.45,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Russia,All Providers Combined,Cellular,cellular,mean,20.12,9.29,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Tajikistan,All Providers Combined,Cellular,cellular,median,6.41,2.06,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Tajikistan,All Providers Combined,Cellular,cellular,mean,12.3,5.07,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Uzbekistan,All Providers Combined,Cellular,cellular,median,7.12,3.29,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.77,5.49,NA,NA,NA,May-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.94,9.01,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.96,13.94,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Cellular,cellular,median,19.29,8.8,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Cellular,cellular,mean,29.87,13.03,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Belarus,All Providers Combined,Cellular,cellular,median,8.9,4.22,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Belarus,All Providers Combined,Cellular,cellular,mean,14.07,8.79,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kazakhstan,All Providers Combined,Cellular,cellular,median,14.28,9.4,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kazakhstan,All Providers Combined,Cellular,cellular,mean,20.17,12.13,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,13.03,7.48,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,16.83,10.42,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Cellular,cellular,median,13.8,6.67,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Russia,All Providers Combined,Cellular,cellular,mean,21.04,9.63,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Cellular,cellular,median,5.2,1.77,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Tajikistan,All Providers Combined,Cellular,cellular,mean,10.34,4.88,NA,NA,NA,Jun-19
