Country,DownloadSpeed,UploadSpeed,Rank,Type
Uzbekistan,89.14,89.02,1,Fixed
Russia,88.83,91.14,2,Fixed
Belarus,85.47,64.24,3,Fixed
Kyrgyzstan,85.32,88.33,4,Fixed
Azerbaijan,84.8,85.27,5,Fixed
Kazakhstan,84.51,88.49,6,Fixed
Armenia,73.57,71.65,7,Fixed
Tajikistan,40.26,30.46,8,Fixed
Azerbaijan,69.82,19.36,1,Cellular
Kazakhstan,66.74,17.41,2,Cellular
Armenia,51.07,16.95,3,Cellular
Kyrgyzstan,44.11,12.78,4,Cellular
Uzbekistan,41.08,15.38,5,Cellular
Russia,30.01,8.2,6,Cellular
Belarus,15.55,8.22,7,Cellular
Tajikistan,13.15,8.96,8,Cellular
