Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Cellular,mean,27.08,11.54,NA,NA,NA,Apr-19,cellular
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Cellular,median,15.81,7.01,NA,NA,NA,Apr-19,cellular
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Fixed,mean,23.51,22.07,NA,NA,NA,Apr-19,NA
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Fixed,median,15.81,14.79,NA,NA,NA,Apr-19,NA
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Cellular,mean,29.04,12.58,NA,NA,NA,May-19,cellular
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Cellular,median,18.8,7.93,NA,NA,NA,May-19,cellular
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Fixed,mean,23.68,21.6,NA,NA,NA,May-19,NA
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Fixed,median,16.4,14.88,NA,NA,NA,May-19,NA
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Cellular,mean,29.87,13.03,NA,NA,NA,Jun-19,cellular
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Cellular,median,19.29,8.8,NA,NA,NA,Jun-19,cellular
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Fixed,mean,23.14,21.51,NA,NA,NA,Jun-19,NA
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Armenia,All Providers Combined,Fixed,median,16.24,14.62,NA,NA,NA,Jun-19,NA
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Armenia,All Providers Combined,Cellular,mean,30.84,13.21,NA,NA,NA,Jul-19,cellular
