Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Fixed,median,5.93,3.24,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Fixed,mean,14.63,15.53,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Fixed,median,15.81,14.79,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Armenia,All Providers Combined,Fixed,mean,23.51,22.07,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Belarus,All Providers Combined,Fixed,median,27.06,23.47,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Belarus,All Providers Combined,Fixed,mean,43.53,35.95,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kazakhstan,All Providers Combined,Fixed,median,17.75,16.04,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kazakhstan,All Providers Combined,Fixed,mean,36.08,35.32,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kyrgyzstan,All Providers Combined,Fixed,median,14.02,13.96,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Kyrgyzstan,All Providers Combined,Fixed,mean,22.37,22.31,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Russia,All Providers Combined,Fixed,median,34.73,35.86,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Russia,All Providers Combined,Fixed,mean,52.36,53.54,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Tajikistan,All Providers Combined,Fixed,median,6.36,2.73,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Tajikistan,All Providers Combined,Fixed,mean,18.05,16.93,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Uzbekistan,All Providers Combined,Fixed,median,4.75,3.26,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Uzbekistan,All Providers Combined,Fixed,mean,13.53,13.01,NA,NA,NA,Apr-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Fixed,median,5.86,3.31,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Fixed,mean,14.62,15.01,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Fixed,median,16.4,14.88,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Armenia,All Providers Combined,Fixed,mean,23.68,21.6,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Belarus,All Providers Combined,Fixed,median,26.64,22.2,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Belarus,All Providers Combined,Fixed,mean,43.33,34.35,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kazakhstan,All Providers Combined,Fixed,median,19.63,16.95,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kazakhstan,All Providers Combined,Fixed,mean,37.49,34.07,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kyrgyzstan,All Providers Combined,Fixed,median,13.92,13.4,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Kyrgyzstan,All Providers Combined,Fixed,mean,23.09,22.05,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Russia,All Providers Combined,Fixed,median,33.46,32.75,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Russia,All Providers Combined,Fixed,mean,52.07,50.2,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Tajikistan,All Providers Combined,Fixed,median,6.33,3.58,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Tajikistan,All Providers Combined,Fixed,mean,17.85,16.21,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Uzbekistan,All Providers Combined,Fixed,median,5.14,3.68,NA,NA,NA,May-19
