Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Time,Intervention,Time_after,DownloadSpeed_Predicted,DownloadSpeed_Counterfactual,UploadSpeed_Predicted,UploadSpeed_Counterfactual
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Fixed,median,5.93,3.24,NA,NA,NA,Apr-19,1,0,0,6.665918003565052,6.665918003565052,5.657754010695187,5.657754010695187
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Fixed,median,5.86,3.31,NA,NA,NA,May-19,2,0,0,6.9359647950089025,6.9359647950089025,6.016530748663102,6.016530748663102
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Fixed,median,5.41,2.38,NA,NA,NA,Jun-19,3,0,0,7.206011586452753,7.206011586452753,6.375307486631016,6.375307486631016
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Fixed,median,7.43,6.26,NA,NA,NA,Jul-19,4,0,0,7.476058377896603,7.476058377896603,6.73408422459893,6.73408422459893
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Fixed,median,6.84,5.85,NA,NA,NA,Aug-19,5,0,0,7.746105169340454,7.746105169340454,7.092860962566844,7.092860962566844
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Fixed,median,9.19,9.11,NA,NA,NA,Sep-19,6,0,0,8.016151960784304,8.016151960784304,7.451637700534759,7.451637700534759
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Fixed,median,10.72,11.64,NA,NA,NA,Oct-19,7,0,0,8.286198752228154,8.286198752228154,7.810414438502673,7.810414438502673
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Fixed,median,10.18,10.9,NA,NA,NA,Nov-19,8,0,0,8.556245543672006,8.556245543672006,8.169191176470587,8.169191176470587
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Fixed,median,10.34,11.21,NA,NA,NA,Dec-19,9,0,0,8.826292335115856,8.826292335115856,8.527967914438502,8.527967914438502
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Fixed,median,9.81,10.39,NA,NA,NA,Jan-20,10,0,0,9.096339126559705,9.096339126559705,8.886744652406417,8.886744652406417
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Fixed,median,9.92,10.36,NA,NA,NA,Feb-20,11,0,0,9.366385918003557,9.366385918003557,9.24552139037433,9.24552139037433
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Azerbaijan,All Providers Combined,Fixed,median,9.51,9.86,NA,NA,NA,Mar-20,12,0,0,9.636432709447408,9.636432709447408,9.604298128342245,9.604298128342245
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Azerbaijan,All Providers Combined,Fixed,median,8.94,8.76,NA,NA,NA,Apr-20,13,0,0,9.906479500891258,9.906479500891258,9.963074866310158,9.963074866310158
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Azerbaijan,All Providers Combined,Fixed,median,9.83,9.99,NA,NA,NA,May-20,14,0,0,10.176526292335108,10.176526292335108,10.321851604278073,10.321851604278073
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Azerbaijan,All Providers Combined,Fixed,median,9.82,10.09,NA,NA,NA,Jun-20,15,0,0,10.446573083778958,10.446573083778958,10.680628342245988,10.680628342245988
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Azerbaijan,All Providers Combined,Fixed,median,9.03,9.18,NA,NA,NA,Jul-20,16,0,0,10.71661987522281,10.71661987522281,11.039405080213903,11.039405080213903
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Azerbaijan,All Providers Combined,Fixed,median,9.97,10.31,NA,NA,NA,Aug-20,17,0,0,10.986666666666661,10.986666666666661,11.398181818181817,11.398181818181817
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Azerbaijan,All Providers Combined,Fixed,median,12.47,13.8,NA,NA,NA,Sep-20,18,0,0,11.25671345811051,11.25671345811051,11.756958556149732,11.756958556149732
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Azerbaijan,All Providers Combined,Fixed,median,16.45,18.22,NA,NA,NA,Oct-20,19,0,0,11.52676024955436,11.52676024955436,12.115735294117645,12.115735294117645
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Azerbaijan,All Providers Combined,Fixed,median,11.91,14.66,NA,NA,NA,Nov-20,20,0,0,11.79680704099821,11.79680704099821,12.47451203208556,12.47451203208556
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Azerbaijan,All Providers Combined,Fixed,median,11.1,12.59,NA,NA,NA,Dec-20,21,0,0,12.066853832442062,12.066853832442062,12.833288770053475,12.833288770053475
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Azerbaijan,All Providers Combined,Fixed,median,11.7,13.07,NA,NA,NA,Jan-21,22,0,0,12.336900623885914,12.336900623885914,13.19206550802139,13.19206550802139
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Azerbaijan,All Providers Combined,Fixed,median,12.62,13.69,NA,NA,NA,Feb-21,23,0,0,12.606947415329763,12.606947415329763,13.550842245989303,13.550842245989303
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Azerbaijan,All Providers Combined,Fixed,median,11.38,12.52,NA,NA,NA,Mar-21,24,0,0,12.876994206773613,12.876994206773613,13.909618983957218,13.909618983957218
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Azerbaijan,All Providers Combined,Fixed,median,12.22,12.85,NA,NA,NA,Apr-21,25,0,0,13.147040998217463,13.147040998217463,14.268395721925131,14.268395721925131
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Azerbaijan,All Providers Combined,Fixed,median,10.74,11,NA,NA,NA,May-21,26,0,0,13.417087789661315,13.417087789661315,14.627172459893046,14.627172459893046
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Fixed,median,13.12,14.37,NA,NA,NA,Jun-21,27,0,0,13.687134581105166,13.687134581105166,14.985949197860961,14.985949197860961
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Fixed,median,12.81,14.13,NA,NA,NA,Jul-21,28,0,0,13.957181372549016,13.957181372549016,15.344725935828874,15.344725935828874
