Year,Quarter,Type,AvgDownload,AvgUpload,YearQuarter
2019,2,Cellular,21.53,8.72,2019-Q2
2019,3,Cellular,22.383333333333333,9.746666666666666,2019-Q3
2019,4,Cellular,24.066666666666666,11.07,2019-Q4
2020,1,Cellular,21.776666666666667,8.773333333333333,2020-Q1
2020,2,Cellular,23.706666666666667,7.553333333333333,2020-Q2
2020,3,Cellular,27.01666666666667,9.120000000000001,2020-Q3
2020,4,Cellular,25.25,9.56,2020-Q4
2021,1,Cellular,27.803333333333335,9.226666666666667,2021-Q1
2021,2,Cellular,29.246666666666666,8.383333333333333,2021-Q2
2021,3,Cellular,29.596666666666668,8.36,2021-Q3
2021,4,Cellular,28.966666666666665,8.473333333333333,2021-Q4
2022,1,Cellular,30.736666666666668,9.286666666666667,2022-Q1
2022,2,Cellular,32.77666666666667,10.083333333333334,2022-Q2
2022,3,Cellular,32.02666666666667,9.456666666666667,2022-Q3
2022,4,Cellular,34.443333333333335,9.923333333333334,2022-Q4
2023,1,Cellular,36.38666666666666,10.76,2023-Q1
2023,2,Cellular,40.2,11.39,2023-Q2
2023,3,Cellular,43.196666666666665,11.833333333333334,2023-Q3
2023,4,Cellular,44.983333333333334,12.476666666666667,2023-Q4
2024,1,Cellular,48.47,12.74,2024-Q1
2024,2,Cellular,51.91,14.19,2024-Q2
2024,3,Cellular,55.126666666666665,14.806666666666667,2024-Q3
2024,4,Cellular,56.57666666666667,15.903333333333332,2024-Q4
2025,1,Cellular,62.589999999999996,17.39,2025-Q1
2025,2,Cellular,61.36,16.753333333333334,2025-Q2
2025,3,Cellular,67.94666666666667,18.453333333333333,2025-Q3
2019,2,Fixed,5.733333333333333,2.9766666666666666,2019-Q2
2019,3,Fixed,7.819999999999999,7.073333333333333,2019-Q3
2019,4,Fixed,10.413333333333334,11.25,2019-Q4
2020,1,Fixed,9.746666666666666,10.203333333333333,2020-Q1
2020,2,Fixed,9.53,9.613333333333333,2020-Q2
2020,3,Fixed,10.49,11.096666666666668,2020-Q3
2020,4,Fixed,13.153333333333332,15.156666666666666,2020-Q4
2021,1,Fixed,11.9,13.093333333333334,2021-Q1
2021,2,Fixed,12.026666666666667,12.74,2021-Q2
2021,3,Fixed,13.643333333333333,14.816666666666666,2021-Q3
2021,4,Fixed,16.396666666666665,17.36,2021-Q4
2022,1,Fixed,18.696666666666665,19.596666666666668,2022-Q1
2022,2,Fixed,21.096666666666668,22.84,2022-Q2
2022,3,Fixed,23.13,24.113333333333333,2022-Q3
2022,4,Fixed,26.78,28.286666666666665,2022-Q4
2023,1,Fixed,27.226666666666667,28.566666666666666,2023-Q1
2023,2,Fixed,29.146666666666665,29.693333333333335,2023-Q2
2023,3,Fixed,29.043333333333333,30.35,2023-Q3
2023,4,Fixed,32.92,33.64333333333333,2023-Q4
2024,1,Fixed,36.96333333333333,36.61666666666667,2024-Q1
2024,2,Fixed,39.64333333333333,39.60666666666667,2024-Q2
2024,3,Fixed,49.93666666666667,49.656666666666666,2024-Q3
2024,4,Fixed,65.58666666666667,65.77666666666667,2024-Q4
2025,1,Fixed,74.19333333333333,74.44666666666666,2025-Q1
2025,2,Fixed,81.27333333333334,80.96666666666667,2025-Q2
2025,3,Fixed,84.76,84.70666666666666,2025-Q3
