Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Treated,Technology,Post
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,median,20.85,8.5,NA,NA,NA,Apr-19,0,cellular,0
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,median,21.8,8.65,NA,NA,NA,May-19,0,cellular,0
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,median,21.94,9.01,NA,NA,NA,Jun-19,0,cellular,0
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,median,21.1,9.07,NA,NA,NA,Jul-19,0,cellular,0
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,median,22.24,9.62,NA,NA,NA,Aug-19,0,cellular,0
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,median,23.81,10.55,NA,NA,NA,Sep-19,0,cellular,0
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,median,22.98,11.17,NA,NA,NA,Oct-19,0,cellular,0
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,median,23.97,10.96,NA,NA,NA,Nov-19,0,cellular,0
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,median,25.25,11.08,NA,NA,NA,Dec-19,0,cellular,0
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Cellular,median,22.12,9.05,NA,NA,NA,Jan-20,0,cellular,0
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Cellular,median,22.1,9.11,NA,NA,NA,Feb-20,0,cellular,0
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Azerbaijan,All Providers Combined,Cellular,median,21.11,8.16,NA,NA,NA,Mar-20,0,cellular,0
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Azerbaijan,All Providers Combined,Cellular,median,22.05,7.21,NA,NA,NA,Apr-20,0,cellular,0
