Year,AvgDownload,AvgUpload,Type,YoY_Download,YoY_Upload
2019,22.66,9.845555555555556,Cellular,NA,NA
2020,24.4375,8.751666666666667,Cellular,7.844218887908208,-11.110484144001811
2021,28.903333333333332,8.610833333333334,Cellular,18.274509803921564,-1.6092172919443894
2022,32.49583333333334,9.6875,Cellular,12.429362241955962,12.503629149327391
2023,41.19166666666667,11.615,Cellular,26.75984100525708,19.89677419354839
2024,53.020833333333336,14.41,Cellular,28.71737811045923,24.063710718897976
2025,63.965555555555554,17.532222222222224,Cellular,20.642305173542887,21.667052201403354
2019,7.988888888888889,7.1,Fixed,NA,NA
2020,10.73,11.5175,Fixed,34.311543810848406,62.21830985915494
2021,13.491666666666667,14.5025,Fixed,25.737806772289527,25.917082700238765
2022,22.425833333333333,23.70916666666667,Fixed,66.21988882025941,63.4833074757226
2023,29.58416666666667,30.563333333333333,Fixed,31.920032700382748,28.909352922568615
2024,48.0325,47.91416666666667,Fixed,62.358806794174804,56.77009488493838
2025,80.07555555555555,80.03999999999999,Fixed,66.71119670130756,67.04871558516095
