Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Azerbaijan,,Apr-19,cellular,median,,,20.85,8.5
All Providers Combined,Azerbaijan,,Apr-19,cellular,mean,,,29.17,13.89
All Providers Combined,Armenia,,Apr-19,cellular,median,,,15.81,7.01
All Providers Combined,Armenia,,Apr-19,cellular,mean,,,27.08,11.54
All Providers Combined,Belarus,,Apr-19,cellular,median,,,7.87,4.61
All Providers Combined,Belarus,,Apr-19,cellular,mean,,,11.64,8.82
All Providers Combined,Kazakhstan,,Apr-19,cellular,median,,,12.98,9.1
All Providers Combined,Kazakhstan,,Apr-19,cellular,mean,,,19.19,12
All Providers Combined,Kyrgyzstan,,Apr-19,cellular,median,,,10.47,6.62
All Providers Combined,Kyrgyzstan,,Apr-19,cellular,mean,,,14.11,9.63
All Providers Combined,Russia,,Apr-19,cellular,median,,,13.06,6.71
All Providers Combined,Russia,,Apr-19,cellular,mean,,,20.14,9.53
All Providers Combined,Tajikistan,,Apr-19,cellular,median,,,5.68,2.01
All Providers Combined,Tajikistan,,Apr-19,cellular,mean,,,10.45,4.76
All Providers Combined,Uzbekistan,,Apr-19,cellular,median,,,7.03,3.22
All Providers Combined,Uzbekistan,,Apr-19,cellular,mean,,,9.8,5.52
All Providers Combined,Azerbaijan,,May-19,cellular,median,,,21.8,8.65
All Providers Combined,Azerbaijan,,May-19,cellular,mean,,,29.49,13.76
All Providers Combined,Armenia,,May-19,cellular,median,,,18.8,7.93
All Providers Combined,Armenia,,May-19,cellular,mean,,,29.04,12.58
All Providers Combined,Belarus,,May-19,cellular,median,,,7.89,4.35
All Providers Combined,Belarus,,May-19,cellular,mean,,,11.9,8.73
All Providers Combined,Kazakhstan,,May-19,cellular,median,,,14.67,9.58
All Providers Combined,Kazakhstan,,May-19,cellular,mean,,,20.74,12.21
All Providers Combined,Kyrgyzstan,,May-19,cellular,median,,,12.41,7.07
All Providers Combined,Kyrgyzstan,,May-19,cellular,mean,,,16.19,10
All Providers Combined,Russia,,May-19,cellular,median,,,13.06,6.45
All Providers Combined,Russia,,May-19,cellular,mean,,,20.12,9.29
All Providers Combined,Tajikistan,,May-19,cellular,median,,,6.41,2.06
All Providers Combined,Tajikistan,,May-19,cellular,mean,,,12.3,5.07
All Providers Combined,Uzbekistan,,May-19,cellular,median,,,7.12,3.29
All Providers Combined,Uzbekistan,,May-19,cellular,mean,,,9.77,5.49
All Providers Combined,Azerbaijan,,Jun-19,cellular,median,,,21.94,9.01
All Providers Combined,Azerbaijan,,Jun-19,cellular,mean,,,29.96,13.94
All Providers Combined,Armenia,,Jun-19,cellular,median,,,19.29,8.8
All Providers Combined,Armenia,,Jun-19,cellular,mean,,,29.87,13.03
All Providers Combined,Belarus,,Jun-19,cellular,median,,,8.9,4.22
All Providers Combined,Belarus,,Jun-19,cellular,mean,,,14.07,8.79
All Providers Combined,Kazakhstan,,Jun-19,cellular,median,,,14.28,9.4
All Providers Combined,Kazakhstan,,Jun-19,cellular,mean,,,20.17,12.13
All Providers Combined,Kyrgyzstan,,Jun-19,cellular,median,,,13.03,7.48
All Providers Combined,Kyrgyzstan,,Jun-19,cellular,mean,,,16.83,10.42
All Providers Combined,Russia,,Jun-19,cellular,median,,,13.8,6.67
All Providers Combined,Russia,,Jun-19,cellular,mean,,,21.04,9.63
All Providers Combined,Tajikistan,,Jun-19,cellular,median,,,5.2,1.77
All Providers Combined,Tajikistan,,Jun-19,cellular,mean,,,10.34,4.88
All Providers Combined,Uzbekistan,,Jun-19,cellular,median,,,6.41,3.26
All Providers Combined,Uzbekistan,,Jun-19,cellular,mean,,,9.63,5.54
All Providers Combined,Azerbaijan,,Jul-19,cellular,median,,,21.1,9.07
All Providers Combined,Azerbaijan,,Jul-19,cellular,mean,,,29.58,14.08
All Providers Combined,Armenia,,Jul-19,cellular,median,,,20.81,9.12
All Providers Combined,Armenia,,Jul-19,cellular,mean,,,30.84,13.21
All Providers Combined,Belarus,,Jul-19,cellular,median,,,8.97,4.22
All Providers Combined,Belarus,,Jul-19,cellular,mean,,,14.1,8.89
All Providers Combined,Kazakhstan,,Jul-19,cellular,median,,,13.74,9.39
All Providers Combined,Kazakhstan,,Jul-19,cellular,mean,,,19.85,12.18
All Providers Combined,Kyrgyzstan,,Jul-19,cellular,median,,,12.93,7.8
All Providers Combined,Kyrgyzstan,,Jul-19,cellular,mean,,,16.65,10.65
All Providers Combined,Russia,,Jul-19,cellular,median,,,13.25,6.6
All Providers Combined,Russia,,Jul-19,cellular,mean,,,20.47,9.49
All Providers Combined,Tajikistan,,Jul-19,cellular,median,,,5.85,2.42
All Providers Combined,Tajikistan,,Jul-19,cellular,mean,,,10.61,5.24
All Providers Combined,Uzbekistan,,Jul-19,cellular,median,,,6.66,3.13
All Providers Combined,Uzbekistan,,Jul-19,cellular,mean,,,9.77,5.59
All Providers Combined,Azerbaijan,,Aug-19,cellular,median,,,22.24,9.62
All Providers Combined,Azerbaijan,,Aug-19,cellular,mean,,,30.52,14.45
All Providers Combined,Armenia,,Aug-19,cellular,median,,,21.55,10.11
All Providers Combined,Armenia,,Aug-19,cellular,mean,,,30.39,13.47
All Providers Combined,Belarus,,Aug-19,cellular,median,,,8.99,4.29
All Providers Combined,Belarus,,Aug-19,cellular,mean,,,14.19,9.03
All Providers Combined,Kazakhstan,,Aug-19,cellular,median,,,13.57,9.5
All Providers Combined,Kazakhstan,,Aug-19,cellular,mean,,,19.69,12.26
All Providers Combined,Kyrgyzstan,,Aug-19,cellular,median,,,12.62,7.62
All Providers Combined,Kyrgyzstan,,Aug-19,cellular,mean,,,17.26,10.81
All Providers Combined,Russia,,Aug-19,cellular,median,,,13.3,6.73
All Providers Combined,Russia,,Aug-19,cellular,mean,,,20.53,9.64
All Providers Combined,Tajikistan,,Aug-19,cellular,median,,,5.39,2.36
All Providers Combined,Tajikistan,,Aug-19,cellular,mean,,,9.8,5.53
All Providers Combined,Uzbekistan,,Aug-19,cellular,median,,,6.15,3.3
All Providers Combined,Uzbekistan,,Aug-19,cellular,mean,,,9.38,5.61
All Providers Combined,Azerbaijan,,Sep-19,cellular,median,,,23.81,10.55
All Providers Combined,Azerbaijan,,Sep-19,cellular,mean,,,31.81,15.44
All Providers Combined,Armenia,,Sep-19,cellular,median,,,22.2,10.66
All Providers Combined,Armenia,,Sep-19,cellular,mean,,,31.01,13.85
All Providers Combined,Belarus,,Sep-19,cellular,median,,,7.89,4.48
All Providers Combined,Belarus,,Sep-19,cellular,mean,,,12.59,9.06
All Providers Combined,Kazakhstan,,Sep-19,cellular,median,,,12.62,9.49
All Providers Combined,Kazakhstan,,Sep-19,cellular,mean,,,19.03,12.19
All Providers Combined,Kyrgyzstan,,Sep-19,cellular,median,,,13.31,8.57
All Providers Combined,Kyrgyzstan,,Sep-19,cellular,mean,,,17.3,11.22
All Providers Combined,Russia,,Sep-19,cellular,median,,,13.54,7.28
All Providers Combined,Russia,,Sep-19,cellular,mean,,,20.99,10.21
All Providers Combined,Tajikistan,,Sep-19,cellular,median,,,5.5,2.59
All Providers Combined,Tajikistan,,Sep-19,cellular,mean,,,8.9,5.23
