Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Azerbaijan,,Apr-19,median,,,5.93,3.24
All Providers Combined,Azerbaijan,,Apr-19,mean,,,14.63,15.53
All Providers Combined,Armenia,,Apr-19,median,,,15.81,14.79
All Providers Combined,Armenia,,Apr-19,mean,,,23.51,22.07
All Providers Combined,Belarus,,Apr-19,median,,,27.06,23.47
All Providers Combined,Belarus,,Apr-19,mean,,,43.53,35.95
All Providers Combined,Kazakhstan,,Apr-19,median,,,17.75,16.04
All Providers Combined,Kazakhstan,,Apr-19,mean,,,36.08,35.32
All Providers Combined,Kyrgyzstan,,Apr-19,median,,,14.02,13.96
All Providers Combined,Kyrgyzstan,,Apr-19,mean,,,22.37,22.31
All Providers Combined,Russia,,Apr-19,median,,,34.73,35.86
All Providers Combined,Russia,,Apr-19,mean,,,52.36,53.54
All Providers Combined,Tajikistan,,Apr-19,median,,,6.36,2.73
All Providers Combined,Tajikistan,,Apr-19,mean,,,18.05,16.93
All Providers Combined,Uzbekistan,,Apr-19,median,,,4.75,3.26
All Providers Combined,Uzbekistan,,Apr-19,mean,,,13.53,13.01
All Providers Combined,Azerbaijan,,May-19,median,,,5.86,3.31
All Providers Combined,Azerbaijan,,May-19,mean,,,14.62,15.01
All Providers Combined,Armenia,,May-19,median,,,16.4,14.88
All Providers Combined,Armenia,,May-19,mean,,,23.68,21.6
All Providers Combined,Belarus,,May-19,median,,,26.64,22.2
All Providers Combined,Belarus,,May-19,mean,,,43.33,34.35
All Providers Combined,Kazakhstan,,May-19,median,,,19.63,16.95
All Providers Combined,Kazakhstan,,May-19,mean,,,37.49,34.07
All Providers Combined,Kyrgyzstan,,May-19,median,,,13.92,13.4
All Providers Combined,Kyrgyzstan,,May-19,mean,,,23.09,22.05
All Providers Combined,Russia,,May-19,median,,,33.46,32.75
All Providers Combined,Russia,,May-19,mean,,,52.07,50.2
All Providers Combined,Tajikistan,,May-19,median,,,6.33,3.58
All Providers Combined,Tajikistan,,May-19,mean,,,17.85,16.21
All Providers Combined,Uzbekistan,,May-19,median,,,5.14,3.68
All Providers Combined,Uzbekistan,,May-19,mean,,,14.37,12.77
All Providers Combined,Azerbaijan,,Jun-19,median,,,5.41,2.38
All Providers Combined,Azerbaijan,,Jun-19,mean,,,14.17,14.86
All Providers Combined,Armenia,,Jun-19,median,,,16.24,14.62
All Providers Combined,Armenia,,Jun-19,mean,,,23.14,21.51
All Providers Combined,Belarus,,Jun-19,median,,,25.93,21.89
All Providers Combined,Belarus,,Jun-19,mean,,,42.09,35.92
All Providers Combined,Kazakhstan,,Jun-19,median,,,17.84,15.52
All Providers Combined,Kazakhstan,,Jun-19,mean,,,35.48,35.5
All Providers Combined,Kyrgyzstan,,Jun-19,median,,,13.64,14.09
All Providers Combined,Kyrgyzstan,,Jun-19,mean,,,22.03,23.2
All Providers Combined,Russia,,Jun-19,median,,,32.23,33.93
All Providers Combined,Russia,,Jun-19,mean,,,50.31,53.43
All Providers Combined,Tajikistan,,Jun-19,median,,,6.61,4
All Providers Combined,Tajikistan,,Jun-19,mean,,,18.06,18.05
All Providers Combined,Uzbekistan,,Jun-19,median,,,5.69,4.55
All Providers Combined,Uzbekistan,,Jun-19,mean,,,17.07,16.22
All Providers Combined,Azerbaijan,,Jul-19,median,,,7.43,6.26
All Providers Combined,Azerbaijan,,Jul-19,mean,,,17.19,18.2
All Providers Combined,Armenia,,Jul-19,median,,,17.43,15.37
All Providers Combined,Armenia,,Jul-19,mean,,,24.02,23.09
All Providers Combined,Belarus,,Jul-19,median,,,33.23,24.94
All Providers Combined,Belarus,,Jul-19,mean,,,47.94,36.88
All Providers Combined,Kazakhstan,,Jul-19,median,,,19,17.35
All Providers Combined,Kazakhstan,,Jul-19,mean,,,36.39,36.31
All Providers Combined,Kyrgyzstan,,Jul-19,median,,,18.08,19.5
All Providers Combined,Kyrgyzstan,,Jul-19,mean,,,25.6,26.86
All Providers Combined,Russia,,Jul-19,median,,,36.21,39.47
All Providers Combined,Russia,,Jul-19,mean,,,53.66,57.29
All Providers Combined,Tajikistan,,Jul-19,median,,,7.48,4.87
All Providers Combined,Tajikistan,,Jul-19,mean,,,18.81,18.35
All Providers Combined,Uzbekistan,,Jul-19,median,,,7.96,7.06
All Providers Combined,Uzbekistan,,Jul-19,mean,,,18.94,18.19
All Providers Combined,Azerbaijan,,Aug-19,median,,,6.84,5.85
